name,type,path,accuracy
pcasvm_89747,pcasvm,D:\PROJECTS\Learn\FaceRecognition\face-recognition-be\app\resources\model\pcasvm_89747.pkl,0.9666666666666668
pcasvm_49025,pcasvm,D:\PROJECTS\Learn\FaceRecognition\face-recognition-be\app\resources\model\pcasvm_49025.pkl,1.0
